episode,time_step,action,lives,reward,score
1,1,1,5,0.0,0.0
1,2,3,5,0.0,0.0
1,3,2,5,0.0,0.0
1,4,3,5,0.0,0.0
1,5,2,5,0.0,0.0
1,6,1,5,0.0,0.0
1,7,0,5,0.0,0.0
1,8,1,5,0.0,0.0
1,9,3,5,0.0,0.0
1,10,2,5,0.0,0.0
1,11,0,5,0.0,0.0
1,12,1,5,0.0,0.0
1,13,1,5,0.0,0.0
1,14,1,5,0.0,0.0
1,15,2,5,0.0,0.0
1,16,3,5,0.0,0.0
1,17,3,5,0.0,0.0
1,18,0,5,0.0,0.0
1,19,1,5,0.0,0.0
1,20,2,5,0.0,0.0
1,21,3,5,0.0,0.0
1,22,1,5,0.0,0.0
1,23,0,5,0.0,0.0
1,24,0,5,0.0,0.0
1,25,2,4,0.0,0.0
1,26,2,4,0.0,0.0
1,27,1,4,0.0,0.0
1,28,3,4,0.0,0.0
1,29,0,4,0.0,0.0
1,30,3,4,0.0,0.0
1,31,2,4,0.0,0.0
1,32,0,4,0.0,0.0
1,33,3,4,0.0,0.0
1,34,0,4,0.0,0.0
1,35,2,4,0.0,0.0
1,36,1,4,0.0,0.0
1,37,3,4,0.0,0.0
1,38,3,4,0.0,0.0
1,39,2,4,0.0,0.0
1,40,2,4,0.0,0.0
1,41,1,4,0.0,0.0
1,42,2,4,0.0,0.0
1,43,3,4,0.0,0.0
1,44,1,4,0.0,0.0
1,45,2,4,0.0,0.0
1,46,2,4,0.0,0.0
1,47,2,4,0.0,0.0
1,48,3,4,0.0,0.0
1,49,0,4,0.0,0.0
1,50,0,4,0.0,0.0
1,51,0,3,0.0,0.0
1,52,2,3,0.0,0.0
1,53,1,3,0.0,0.0
1,54,2,3,0.0,0.0
1,55,3,3,0.0,0.0
1,56,0,3,0.0,0.0
1,57,3,3,0.0,0.0
1,58,2,3,0.0,0.0
1,59,2,3,0.0,0.0
1,60,2,3,0.0,0.0
1,61,3,3,0.0,0.0
1,62,3,3,0.0,0.0
1,63,1,3,0.0,0.0
1,64,0,3,0.0,0.0
1,65,2,3,0.0,0.0
1,66,0,3,0.0,0.0
1,67,0,3,0.0,0.0
1,68,2,3,0.0,0.0
1,69,3,3,0.0,0.0
1,70,1,3,0.0,0.0
1,71,2,3,0.0,0.0
1,72,0,3,0.0,0.0
1,73,2,3,0.0,0.0
1,74,3,3,0.0,0.0
1,75,1,3,0.0,0.0
1,76,1,3,0.0,0.0
1,77,0,2,0.0,0.0
1,78,2,2,0.0,0.0
1,79,3,2,0.0,0.0
1,80,3,2,0.0,0.0
1,81,0,2,0.0,0.0
1,82,1,2,0.0,0.0
1,83,2,2,0.0,0.0
1,84,2,2,0.0,0.0
1,85,3,2,0.0,0.0
1,86,3,2,0.0,0.0
1,87,0,2,0.0,0.0
1,88,1,2,0.0,0.0
1,89,3,2,0.0,0.0
1,90,3,2,0.0,0.0
1,91,2,2,0.0,0.0
1,92,2,2,0.0,0.0
1,93,0,2,0.0,0.0
1,94,2,2,0.0,0.0
1,95,3,2,0.0,0.0
1,96,2,2,0.0,0.0
1,97,1,2,0.0,0.0
1,98,2,2,0.0,0.0
1,99,0,2,0.0,0.0
1,100,3,2,0.0,0.0
1,101,1,2,0.0,0.0
1,102,2,2,0.0,0.0
1,103,1,2,0.0,0.0
1,104,3,2,0.0,0.0
1,105,2,2,0.0,0.0
1,106,3,1,0.0,0.0
1,107,2,1,0.0,0.0
1,108,2,1,0.0,0.0
1,109,2,1,0.0,0.0
1,110,1,1,0.0,0.0
1,111,3,1,0.0,0.0
1,112,2,1,0.0,0.0
1,113,0,1,0.0,0.0
1,114,3,1,0.0,0.0
1,115,0,1,0.0,0.0
1,116,0,1,0.0,0.0
1,117,2,1,0.0,0.0
1,118,1,1,0.0,0.0
1,119,3,1,0.0,0.0
1,120,1,1,0.0,0.0
1,121,2,1,0.0,0.0
1,122,2,1,0.0,0.0
1,123,2,1,0.0,0.0
1,124,3,1,0.0,0.0
1,125,3,1,0.0,0.0
1,126,0,1,0.0,0.0
1,127,3,1,0.0,0.0
1,128,2,1,0.0,0.0
1,129,0,1,0.0,0.0
1,130,2,1,0.0,0.0
1,131,3,1,0.0,0.0
1,132,0,1,0.0,0.0
1,133,2,1,0.0,0.0
1,134,3,0,0.0,0.0
2,1,2,5,0.0,0.0
2,2,1,5,0.0,0.0
2,3,3,5,0.0,0.0
2,4,0,5,0.0,0.0
2,5,1,5,0.0,0.0
2,6,2,5,0.0,0.0
2,7,3,5,0.0,0.0
2,8,2,5,0.0,0.0
2,9,3,5,0.0,0.0
2,10,1,5,0.0,0.0
2,11,0,5,0.0,0.0
2,12,1,5,0.0,0.0
2,13,2,5,0.0,0.0
2,14,3,5,0.0,0.0
2,15,1,5,0.0,0.0
2,16,0,5,0.0,0.0
2,17,3,5,0.0,0.0
2,18,2,5,0.0,0.0
2,19,2,5,0.0,0.0
2,20,1,5,0.0,0.0
2,21,2,5,0.0,0.0
2,22,2,5,0.0,0.0
2,23,3,5,0.0,0.0
2,24,3,5,0.0,0.0
2,25,1,5,0.0,0.0
2,26,0,4,0.0,0.0
2,27,2,4,0.0,0.0
2,28,1,4,0.0,0.0
2,29,2,4,0.0,0.0
2,30,3,4,0.0,0.0
2,31,3,4,0.0,0.0
2,32,2,4,0.0,0.0
2,33,0,4,0.0,0.0
2,34,2,4,0.0,0.0
2,35,0,4,0.0,0.0
2,36,3,4,0.0,0.0
2,37,2,4,0.0,0.0
2,38,2,4,0.0,0.0
2,39,0,4,0.0,0.0
2,40,1,4,0.0,0.0
2,41,3,4,0.0,0.0
2,42,1,4,0.0,0.0
